country,consumerId,systemCreationDate,firstName,lastName,city,gender,birthDate,OptinValue
Kyrgyz Republic,cff65808-f909-4418-b8b5-0efe7e85a8c2,2022-07-27,Dylan,Palmer,Mariafort,Female,1956-01-04,No
Finland,c32e2a5f-323f-4533-9ecd-a677ba8405bd,2019-12-26,Adam,Carter,New Donaldfurt,Male,1945-08-30,No
Poland,c008e598-9104-4cca-b836-405512d0e4d8,2017-10-10,Janet,Lynch,Williamsbury,Male,1961-12-16,Yes
Poland,c5b84a3b-5f75-421f-82a0-adc42e823576,2021-05-17,Deborah,Gonzales,East Julieland,Non-Binary,1971-03-10,Yes
Italy,cba1a912-2e66-4f0a-8794-01723adb81c2,2023-09-01,Sean,Chavez,Rickchester,Male,1938-06-07,Yes
Niger,c395001a-ba91-4921-bfa2-82eed87fb6ee,2023-07-03,Kevin,Little,Alyssahaven,Non-Binary,1994-01-12,Yes
Chad,c44d62f4-66ad-4172-8e89-6657445c4859,2021-11-08,Brendan,Singleton,Cardenastown,Male,1953-11-16,No
Iceland,c89f6b47-c9e4-4601-ad8a-5eaac9353852,2021-05-14,Steven,Lane,West Christopherfort,Male,1985-07-13,Yes
Maldives,cdf827ae-78c0-4721-8503-c73fd4e57d06,2021-03-03,Carrie,Adams,Atkinston,Non-Binary,1958-03-01,Yes
Japan,c346d070-51a4-46bb-b246-48bb54975d3b,2021-09-11,Jackson,Roberts,East Brian,Non-Binary,1940-11-21,Yes
Cuba,c8ba469b-cebc-451d-b046-edd0c973dd57,2019-01-27,Mark,Gomez,New Brendaport,Male,1938-05-15,Yes
Cambodia,c2639a22-2bdf-4ab6-93a3-cebc77c489f7,2017-03-03,Julie,Lambert,West Jackie,Male,1949-12-24,No
Mongolia,cd5a13a5-b58d-4e13-9aaa-823f9dfe5a9b,2023-05-20,Shane,Wright,Mackborough,Female,1953-12-28,No
Barbados,cef29c47-d3e2-47ec-9a21-25fbcf9e2996,2022-05-08,Jason,Love,Lewisfort,Female,1947-06-03,Yes
Australia,c22cef09-2bfa-4f0d-966c-d3783b685b11,2023-06-16,Rachel,King,North Erichaven,Non-Binary,1939-09-11,Yes
Aruba,ca5417e5-56ec-4774-80bd-9cf2ea34305b,2022-01-08,Christina,Ortega,North Jermaine,Non-Binary,1976-02-16,No
Nigeria,cc89d50e-8802-4523-9e97-c02275ccc2c0,2022-02-12,Samuel,Jordan,East Brentborough,Male,1942-10-09,Yes
Chile,c3536900-2101-4cd0-ab9b-099b5059ab89,2019-09-05,James,Coleman,Yorkland,Female,1977-04-19,Yes
Suriname,c9d862e4-11ee-4910-8a44-2c5aa09d6b32,2020-10-06,Jason,Harvey,Sotoburgh,Non-Binary,2005-01-06,Yes
San Marino,ca05d1ca-6aef-4339-bc5e-50ad17338482,2022-06-07,Amy,Petty,South Stacey,Non-Binary,1978-12-27,Yes
Spain,c649dd30-8763-4f79-a41f-ad9edbc4b41c,2023-12-26,Austin,Vega,Mariahberg,Non-Binary,2003-07-12,No
Chile,c1263a7d-5a5c-47cf-95b2-35dfe5a76a99,2018-06-21,Phyllis,Allen,South Brandi,Male,1978-05-14,No
Aruba,c937d302-8585-4dad-8124-b58b9bb3d509,2019-04-29,Katelyn,Ryan,Steventown,Female,1985-01-07,No
Qatar,ca1301bf-e8aa-4ba0-8a0f-82fecbc66d12,2021-03-20,Jose,Patrick,Samanthatown,Non-Binary,2002-07-25,Yes
Ghana,ca924777-09e5-4ad5-98c4-cd832c21f627,2017-07-28,Michelle,Wallace,West Maryville,Non-Binary,2001-08-03,Yes
South Africa,c8d1514c-a045-4192-b857-d54fd28c4150,2023-08-01,Joseph,Goodman,Amandamouth,Non-Binary,1980-02-07,Yes
Peru,c831b794-613f-4a7d-8b43-c6ba8ac4d9fb,2018-01-11,Mark,Kaufman,Williamborough,Non-Binary,1991-07-26,No
Indonesia,c74de439-ac7f-40b3-b11c-c17ce608b2e4,2023-05-29,Monica,Crawford,North Kylestad,Non-Binary,1948-09-09,No
Tanzania,c03115ee-aa43-4104-9b9d-269af0b14965,2020-03-02,Felicia,Spears,Port Christine,Female,1992-08-21,Yes
American Samoa,c3467d74-dcc3-418c-85cf-de664fcbaa0e,2016-12-01,Thomas,Parker,North Michelle,Non-Binary,1959-06-21,Yes
Mayotte,c93095b2-048d-4772-9fb8-f97978369fec,2021-09-19,Brittany,Patel,East Erikabury,Male,1948-08-28,No
Somalia,cd071d08-0544-4581-afc8-9c804374eeea,2023-03-10,Erica,Randall,West Crystal,Female,1991-08-20,Yes
Slovenia,cb341c94-0c2f-403c-9916-23f9887e70d9,2021-07-09,Dawn,Williams,South Emily,Non-Binary,1959-12-30,No
Korea,cfcd6b9c-04b0-4ff2-b8fc-684308a562b9,2022-04-05,Michael,Morton,Adamsberg,Male,1979-03-01,Yes
India,cbee304a-11a0-4770-b12e-551e89c5ee32,2020-06-06,John,Maxwell,North William,Non-Binary,1982-05-12,No
Sao Tome and Principe,c1aa7be7-bc9f-4e81-9739-a23fa8028c0b,2023-08-11,Mary,Hall,North Kellyhaven,Male,2005-06-30,No
Singapore,cea16264-9618-4fe7-a26e-4831f1bfcfb4,2020-09-07,Steven,Rowland,New Julie,Non-Binary,1964-07-08,Yes
Guam,c7a7d614-31b1-4641-b7da-9dc019b0be26,2022-08-20,Joy,Johnson,New Danielstad,Non-Binary,1981-07-16,Yes
Syrian Arab Republic,ce656ce5-6aef-4f50-b169-615c1dc79849,2016-11-09,William,Schmitt,Johnport,Non-Binary,1982-09-07,No
Cook Islands,c92487f0-b39c-436b-8202-ed61b98d834d,2018-05-18,Darin,Cruz,Lake Christianland,Female,1943-06-19,Yes
Lao People's Democratic Republic,c9d82250-5185-496b-82e7-7451fdd5b43c,2016-07-22,Stephanie,Green,Kimport,Female,1940-03-11,No
Korea,cf302371-04a7-42cf-8a35-f355d13d61e7,2023-10-13,Crystal,Miller,Ronnieville,Male,1949-03-28,Yes
China,cc35ead0-8b79-4334-8feb-df99ce94cedf,2022-05-26,Willie,Mullins,West Bobby,Male,1972-06-21,No
Djibouti,c808a8c3-9492-4d78-9409-929b0970c1ef,2018-05-25,Derek,Garcia,East Dominique,Female,1991-07-18,No
Comoros,c7b57651-fad9-4aee-9362-1f0129e1cb27,2018-08-30,Sara,Gamble,East Alexandraland,Non-Binary,1983-04-05,Yes
India,c046c9ce-1171-482e-a3bf-115523b024d9,2017-03-04,Ralph,Acevedo,New Lynn,Non-Binary,2003-10-11,Yes
Ukraine,c8c6aa39-14d0-45b9-93ec-a2f608d08b61,2020-06-18,Steven,Brown,Debraville,Female,1968-08-31,No
Lesotho,c365afd9-d4aa-498a-8b5d-9d16a936dad0,2016-01-16,Gina,Walls,Hodgeston,Female,1994-02-08,Yes
Eritrea,c27a2819-fa5c-4d8a-8cb5-c3e4cc919e12,2022-11-16,Jonathan,Wright,Millerside,Non-Binary,1967-06-26,No
Bouvet Island (Bouvetoya),cdeb78d8-75b5-45f7-9ae6-f41af42b8cd5,2016-10-31,Samuel,Walker,Tonihaven,Male,1945-03-15,No
Monaco,cb7040f9-a66c-42dd-b341-3262898cbf04,2018-09-27,Laura,Thompson,Michaelburgh,Male,1973-04-14,No
Angola,ce044a6c-2cbb-4f55-8829-c03a3a031d01,2021-06-27,Jason,Long,Gonzalezside,Non-Binary,1989-01-31,No
Sao Tome and Principe,cd7a28ff-f306-494e-8cb2-edd4b120fedb,2016-08-23,Jessica,Dean,Jamesside,Male,1998-12-28,No
Bangladesh,c044e607-bbe2-4b14-96a9-ad3dd76cb949,2021-10-08,Brittany,Garrison,Stevenfort,Non-Binary,1967-06-13,Yes
Benin,cf301017-60c8-4fb4-b76a-f6d811ce73a7,2018-09-20,Austin,Gonzalez,Larryshire,Female,2005-07-25,No
Estonia,cf79be9e-7cb2-4951-8248-3db1c3b9bd22,2021-12-10,Michael,Hardy,Kellyberg,Female,2003-02-03,No
Iraq,cb9c738f-0bb7-458f-a6e7-45786c044a9a,2019-03-01,Erin,Barber,North Garyshire,Female,1952-01-12,Yes
Belize,c34a3bf6-26e5-4f46-a64d-0eed720a2269,2018-12-08,John,Scott,New Heatherchester,Non-Binary,1963-11-06,Yes
Svalbard & Jan Mayen Islands,cacd7415-fdcb-40e0-b54c-7597fe6c5d66,2017-09-06,Charles,Blake,Phillipsshire,Male,1962-09-18,Yes
Eritrea,ceefe4f1-e949-476f-aaa3-9623e2ee81f3,2022-08-21,Scott,Horn,New Robert,Non-Binary,1995-04-16,No
Lao People's Democratic Republic,c1fd35b9-2fe1-4091-86ff-348c845d0f2b,2020-05-26,Mariah,Wong,South Robert,Male,1948-12-21,Yes
Vanuatu,cccc13b4-7fa6-47d2-96d4-f74e96e1efaa,2017-06-13,Lauren,Clark,East Kennethhaven,Male,1973-08-31,No
South Africa,c47b96d3-0e8c-42b5-9c13-d9f1857f70a1,2016-02-04,Jennifer,Atkins,Whitneyland,Male,1990-03-09,No
Marshall Islands,c8d8e17e-525a-409f-97c7-bc76a3e5cb97,2017-10-26,Rachel,Hayden,Hallstad,Female,1973-07-09,No
